day,blocks,p50,p80,p90,p99
2025-07-23 00:00:00.000 UTC,7150,0.026399333205984497,0.026399333205984497,0.06213937308217011,0.23326275150962822
2025-07-24 00:00:00.000 UTC,7146,0.026039069212306646,0.026039069212306646,0.061670686516372315,0.20602781343278434
2025-07-25 00:00:00.000 UTC,7137,0.02310653917493189,0.02310653917493189,0.05748284383400151,0.22005602430837798
2025-07-26 00:00:00.000 UTC,7156,0.015802854296135507,0.015802854296135507,0.03073220304622201,0.13241072083860356
2025-07-27 00:00:00.000 UTC,7166,0.014853382864613376,0.014853382864613376,0.032816814472398904,0.13860943230817696
2025-07-28 00:00:00.000 UTC,7140,0.018395604344315655,0.018395604344315655,0.04581429439664852,0.17806409510817234
2025-07-29 00:00:00.000 UTC,7150,0.01923997549739075,0.01923997549739075,0.0502912513655442,0.2365789293203608
2025-07-30 00:00:00.000 UTC,7141,0.01897098100761532,0.01897098100761532,0.052125473459854375,0.27239167075657195
2025-07-31 00:00:00.000 UTC,7132,0.01760411059391154,0.01760411059391154,0.044154811837932316,0.16912065408784077
2025-08-01 00:00:00.000 UTC,7146,0.01786155252444654,0.01786155252444654,0.060944735275096425,0.27249024464664745
2025-08-02 00:00:00.000 UTC,7146,0.013823136088037627,0.013823136088037627,0.036813561477601606,0.1835270147046302
2025-08-03 00:00:00.000 UTC,7162,0.012065887514328265,0.012065887514328265,0.026069167881146653,0.11938294894390752
2025-08-04 00:00:00.000 UTC,7162,0.014762575136177186,0.014762575136177186,0.035150199375469385,0.16326631680510154
2025-08-05 00:00:00.000 UTC,7159,0.016585549976015922,0.016585549976015922,0.041775439775596515,0.1937110510189789
2025-08-06 00:00:00.000 UTC,7155,0.015575674138481767,0.015575674138481767,0.035692162287538125,0.16626950650666392
2025-08-07 00:00:00.000 UTC,7151,0.017503643583599505,0.017503643583599505,0.04176108764591675,0.1998884928121726
2025-08-08 00:00:00.000 UTC,7154,0.01716467225614302,0.01716467225614302,0.04641226129545017,0.2312690787884355
